sale_date,product_id,total_items_sold,total_revenue
2026-03-11,1,317,20665.00
2026-03-11,2,112,9820.00
2026-03-11,17,39,4660.00
2026-03-11,15,31,3790.00
2026-03-11,3,20,2350.00
2026-03-11,45,15,1600.00
2026-03-11,20,10,1200.00
2026-03-11,16,6,978.00
2026-03-11,44,11,950.00
2026-03-11,18,4,634.00
2026-03-11,46,4,520.00
2026-03-11,19,3,435.00
2026-03-11,37,3,195.00
2026-03-11,39,1,115.00
2026-03-10,1,599,39475.00
2026-03-10,2,197,16925.00
2026-03-10,17,51,6165.00
2026-03-10,15,42,4980.00
2026-03-10,3,42,4980.00
2026-03-10,44,41,3420.00
2026-03-10,20,24,2910.00
2026-03-10,16,15,2318.00
2026-03-10,45,18,1890.00
2026-03-10,46,10,1505.00
2026-03-10,18,7,1069.00
2026-03-10,19,6,870.00
2026-03-10,37,5,325.00
2026-03-09,1,378,24750.00
2026-03-09,2,165,14325.00
2026-03-09,15,46,5515.00
2026-03-09,17,34,4035.00
2026-03-09,45,27,2835.00
2026-03-09,18,14,2246.00
2026-03-09,3,19,2235.00
2026-03-09,20,16,1890.00
2026-03-09,46,11,1760.00
2026-03-09,44,21,1680.00
2026-03-09,16,11,1630.00
2026-03-09,19,3,489.00
2026-03-09,37,6,390.00
2026-03-09,38,3,255.00
2026-03-08,1,784,51725.00
2026-03-08,2,245,21225.00
2026-03-08,17,72,8530.00
2026-03-08,15,64,7785.00
2026-03-08,3,53,6395.00
2026-03-08,20,36,4240.00
2026-03-08,45,34,3790.00
2026-03-08,44,26,2225.00
2026-03-08,18,12,1794.00
2026-03-08,16,11,1792.00
2026-03-08,46,7,1240.00
2026-03-08,37,18,1230.00
2026-03-08,19,5,779.00
2026-03-08,38,1,85.00
2026-03-07,1,992,65320.00
2026-03-07,2,390,33650.00
2026-03-07,17,116,14115.00
2026-03-07,15,82,9730.00
2026-03-07,3,63,7495.00
2026-03-07,20,50,5875.00
2026-03-07,44,59,5030.00
2026-03-07,45,37,3925.00
2026-03-07,16,15,2283.00
2026-03-07,18,12,1740.00
2026-03-07,19,10,1558.00
2026-03-07,37,18,1200.00
2026-03-07,46,6,945.00
2026-03-07,38,6,510.00
2026-03-07,39,3,345.00
2026-03-06,1,1101,72705.00
2026-03-06,2,394,34590.00
2026-03-06,15,101,12065.00
2026-03-06,17,82,9705.00
2026-03-06,3,71,8315.00
2026-03-06,20,46,5490.00
2026-03-06,45,46,5255.00
2026-03-06,44,54,4555.00
